iter	Passed	Remaining
433	1690	2204
434	1693	2199
435	1696	2193
436	1698	2188
437	1702	2184
438	1706	2180
439	1709	2176
440	1712	2171
441	1716	2166
442	1718	2161
443	1721	2155
444	1724	2150
445	1727	2145
446	1729	2140
447	1734	2136
448	1737	2131
449	1741	2128
450	1743	2122
451	1746	2117
452	1749	2112
453	1752	2107
454	1755	2102
455	1758	2097
456	1761	2092
457	1764	2087
458	1768	2084
459	1770	2078
460	1774	2075
461	1778	2071
462	1781	2066
463	1784	2061
464	1787	2056
465	1790	2051
466	1794	2048
467	1798	2044
468	1800	2039
469	1804	2034
470	1807	2030
471	1810	2025
472	1813	2020
473	1816	2016
474	1820	2011
475	1823	2006
476	1825	2001
477	1829	1998
478	1833	1993
479	1835	1988
480	1839	1985
481	1842	1980
482	1847	1977
483	1849	1972
484	1852	1967
485	1855	1962
486	1858	1958
487	1862	1954
488	1866	1950
489	1870	1946
490	1873	1941
491	1877	1938
492	1880	1933
493	1883	1929
494	1887	1925
495	1890	1920
496	1893	1916
497	1896	1911
498	1899	1907
499	1902	1902
500	1905	1897
501	1908	1893
502	1911	1888
503	1914	1884
504	1917	1879
505	1920	1874
506	1923	1870
507	1926	1866
508	1935	1867
509	1942	1866
510	1950	1866
511	1955	1863
512	1960	1860
513	1964	1857
514	1967	1853
515	1971	1849
516	1974	1844
517	1976	1839
518	1979	1834
519	1983	1831
520	1988	1828
521	1991	1823
522	1993	1818
523	1996	1813
524	1999	1809
525	2002	1804
526	2006	1801
527	2009	1796
528	2013	1792
529	2016	1788
530	2020	1784
531	2024	1780
532	2027	1776
533	2029	1771
534	2034	1768
535	2036	1763
536	2039	1758
537	2041	1753
538	2043	1748
539	2045	1742
540	2048	1737
541	2050	1732
542	2053	1727
543	2055	1722
544	2057	1717
545	2059	17125546	2062	17075547	2064	17025548	2066	16975549	2068	16925550	2071	16875551	2073	16825552	2075	16775553	2077	1672554	2084	1671
555	2086	1666
556	2089	1661
557	2091	1657
558	2094	1652
559	2097	1647
560	2100	1643
561	2102	1638
562	2105	1634
563	2108	1629
564	2110	1625
565	2113	1620
566	2116	1615
567	2118	1611
568	2121	1606
569	2123	1602
570	2126	1597
571	2128	1593
572	2132	1588
573	2134	1584
574	2137	1579
575	2139	1575
576	2142	1570
577	2144	1566
578	2147	1561
579	2150	1557
580	2153	1552
581	2155	1548
582	2158	1543
583	2160	1539
584	2163	1534
585	2165	1530
586	2168	1525
587	2170	1520
588	2173	1516
589	2175	1511
590	2178	1507
591	2181	1503
592	2184	1499
593	2186	1494
594	2189	1490
595	2191	1485
596	2194	1481
597	2197	1477
598	2201	1474
599	2204	1469
600	2206	1465
601	2209	1460
602	2212	1456
603	2215	1452
604	2218	1448
605	2221	1444
606	2223	1439
607	2226	1435
608	2229	1431
609	2232	1427
610	2235	1422
611	2237	1418
612	2240	1414
613	2242	1409
614	2245	1405
615	2248	1401
616	2250	1397
617	2253	1392
618	2255	1388
619	2258	1384
620	2262	1380
621	2264	1376
622	2267	1372
623	2270	1367
624	2272	1363
625	2276	1359
626	2278	1355
627	2281	1351
628	2284	1347
629	2286	1342
630	2289	1338
631	2292	1334
632	2294	1330
633	2297	1326
634	2299	1321
635	2302	1317
636	2304	1313
637	2307	1309
638	2310	1305
639	2313	1301
640	2316	1297
641	2319	1293
642	2322	1289
643	2325	1285
644	2327	1281
645	2330	1276
646	2333	1272
647	2336	1268
648	2339	1265
649	2342	1261
650	2344	1257
651	2347	1252
652	2350	1248
653	2352	1244
654	2356	1241
655	2358	1236
656	2361	1232
657	2364	1228
658	2366	1224
659	2369	1220
660	2372	1216
661	2375	1212
662	2377	1208
663	2380	1204
664	2383	1200
665	2386	1196
666	2388	1192
667	2391	1188
668	2394	1184
669	2397	1180
670	2400	1176
671	2402	1172
672	2405	1168
673	2407	1164
674	2410	1160
675	2413	1156
676	2415	1152
677	2419	1149
678	2421	1144
679	2424	1140
680	2426	1136
681	2429	1132
682	2431	1128
683	2434	1124
684	2437	1120
685	2439	1116
686	2441	1112
687	2444	1108
688	2447	1104
689	2450	1100
690	2455	1097
691	2457	1093
692	2460	1089
693	2462	1085
694	2465	1081
695	2467	1077
696	2470	1073
697	2472	1069
698	2475	1065
699	2477	1061
700	2480	1057
701	2484	1054
702	2486	1050
703	2489	1046
704	2492	1042
705	2494	1038
706	2497	1034
707	2500	1031
708	2503	1027
709	2505	1023
710	2508	1019
711	2510	1015
712	2513	1011
713	2516	1007
714	2518	1003
715	2521	1000
716	2523	996
717	2526	992
718	2529	988
719	2532	984
720	2534	980
721	2537	976
722	2539	973
723	2542	969
724	2545	965
725	2548	961
726	2550	957
727	2553	954
728	2556	950
729	2559	946
730	2562	943
731	2565	939
732	2567	935
733	2570	931
734	2574	928
735	2578	924
736	2580	920
737	2583	917
738	2586	913
739	2588	909
740	2591	905
741	2594	902
742	2597	898
743	2600	894
744	2603	891
745	2606	887
746	2609	883
747	2612	880
748	2615	876
749	2618	872
750	2620	868
751	2623	865
752	2626	861
753	2628	857
754	2631	853
755	2633	850
756	2636	846
757	2639	842
758	2643	839
759	2645	835
760	2647	831
761	2650	827
762	2653	824
763	2655	820
764	2659	816
765	2661	813
766	2664	809
767	2666	805
768	2669	801
769	2671	798
770	2675	794
771	2678	790
772	2680	787
773	2683	783
774	2685	779
775	2688	776
776	2691	772
777	2693	768
778	2696	764
779	2699	761
780	2701	757
781	2704	753
782	2708	750
783	2711	746
784	2713	743
785	2716	739
786	2719	735
787	2722	732
788	2726	729
789	2728	725
790	2731	721
791	2733	717
792	2736	714
793	2739	710
794	2741	707
795	2744	703
796	2747	699
797	2749	696
798	2752	692
799	2754	688
800	2757	685
801	2759	681
802	2762	677
803	2765	674
804	2767	670
805	2770	666
806	2773	663
807	2775	659
808	2778	655
809	2781	652
810	2783	648
811	2786	645
812	2788	641
813	2791	637
814	2793	634
815	2796	630
816	2799	626
817	2801	623
818	2804	619
819	2806	616
820	2809	612
821	2811	608
822	2814	605
823	2816	601
824	2819	598
825	2822	594
826	2824	590
827	2828	587
828	2830	583
829	2833	580
830	2836	576
831	2839	573
832	2841	569
833	2844	566
834	2847	562
835	2849	559
836	2852	555
837	2856	552
838	2860	548
839	2862	545
840	2864	541
841	2867	538
842	2870	534
843	2873	531
844	2875	527
845	2878	523
846	2880	520
847	2882	516
848	2885	513
849	2887	509
850	2890	506
851	2892	502
852	2895	498
853	2898	495
854	2900	491
855	2903	488
856	2905	484
857	2908	481
858	2910	477
859	2913	474
860	2915	470
861	2918	467
862	2921	463
863	2923	460
864	2926	456
865	2928	453
866	2932	449
867	2934	446
868	2937	442
869	2940	439
870	2942	435
871	2945	432
872	2947	428
873	2950	425
874	2953	421
875	2955	418
876	2958	414
877	2961	411
878	2963	407
879	2966	404
880	2968	401
881	2971	397
882	2974	394
883	2976	390
884	2979	387
885	2981	383
886	2984	380
887	2986	376
888	2989	373
889	2991	369
890	2994	366
891	2997	362
892	2999	359
893	3002	355
894	3007	352
895	3009	349
896	3012	345
897	3014	342
898	3017	339
899	3020	335
900	3022	332
901	3025	328
902	3027	325
903	3030	321
904	3033	318
905	3036	314
906	3038	311
907	3041	308
908	3043	304
909	3046	301
910	3049	297
911	3051	294
912	3054	291
913	3057	287
914	3059	284
915	3062	280
916	3065	277
917	3067	274
918	3070	270
919	3072	267
920	3075	263
921	3077	260
922	3080	257
923	3083	253
924	3086	250
925	3089	246
926	3091	243
927	3094	240
928	3097	236
929	3099	233
930	3102	229
931	3105	226
932	3108	223
933	3110	219
934	3113	216
935	3116	213
936	3120	209
937	3123	206
938	3126	203
939	3130	199
940	3133	196
941	3137	193
942	3141	189
943	3144	186
944	3147	183
945	3150	179
946	3154	176
947	3156	173
948	3159	169
949	3162	166
950	3164	163
951	3167	159
952	3169	156
953	3172	152
954	3174	149
955	3177	146
956	3180	142
957	3182	139
958	3185	136
959	3188	132
960	3192	129
961	3196	126
962	3204	123
963	3206	119
964	3208	116
965	3211	113
966	3214	109
967	3221	106
968	3223	103
969	3226	99
970	3229	96
971	3231	93
972	3234	89
973	3236	86
974	3239	83
975	3242	79
976	3244	76
977	3246	73
978	3249	69
979	3252	66
980	3254	63
981	3257	59
982	3259	56
983	3262	53
984	3264	49
985	3267	46
986	3269	43
987	3272	39
988	3274	36
989	3276	33
990	3279	29
991	3281	26
992	3284	23
993	3286	19
994	3289	16
995	3291	13
996	3294	9
997	3296	6
998	3299	3
999	3301	0
