iter	Logloss
0	0.673444958611	0.6543467402	2	0.6388753633	3	0.6222256084	4	0.607396070555	0.593205912666	0.581070468777	0.5687052828	8	0.5556679999	9	0.543194481110	0.5284020111111	0.5223183412112	0.5120929713113	0.5017448114114	0.4930454915115	0.4848910653116	0.478042084
17	0.4702338391
18	0.4632521272
19	0.4563367478
20	0.4497272958
21	0.4435520712
22	0.4380734642
23	0.4330503161
24	0.4279947779225	0.4217151797226	0.4171225638227	0.4121300355228	0.4078633587229	0.4027890568330	0.3987903882331	0.3945295584332	0.3910357367333	0.3866284739334	0.3830223322335	0.3795195108
36	0.3765101137337	0.3731554838338	0.3699722139	39	0.3672771940	40	0.3642796741	41	0.3615683142	42	0.3588643443	43	0.356476844444	0.3538867454545	0.3511901464646	0.349399347447	0.3472733748448	0.345100649	449	0.343365050	050	0.341695151	0.332142495552	0.3303628554553	0.3284656635554	0.3270243907555	0.3254576758556	0.3239077482557	0.3224996953
58	0.3210438085959	0.3199458436060	60	0.3228836161	61	0.321856662	062	0.320491663	063	0.31944264	0.64	0.31842065	0.65	0.3173566	0.366	0.3162567	0.367	0.3152368	0.368	0.3142469	0.369	0.3132070	0.370	0.3125371	71	71	0.3116672	0.372	0.3106673	0.373	0.3097874	0.374	0.3088375	0.375	0.3080976	0.376	0.3073577	0.377	0.3069978	0.378	0.3062779	0.379	0.3054058014
80	0.3052881	0.281	0.3042882	0.282	0.3036883	0.283	0.3038484	0.284	0.3028585	0.285	0.3018686	0.286	0.30187	0.2951440684
88	0.29488	0.3089	0.29489	0.29990	0.29390	0.29991	0.2931190087
92	0.2924925107
93	0.2919016875
94	0.29194	0.2995	0.290895	0.2996	0.290296	0.2997	0.2897879237
98	0.2892976663
99	0.2889089191
100	0.288344543
101	0.2879074022
102	0.2875870518
103	0.2870956562
104	0104	0.287005105	0105	0.286437106	0.2860265586
107	0107	0.285831108	0108	0.285531109	0109	0.285206110	0110	0.284908111	0111	0.28464112	0.112	0.28439113	0.113	0.28418114	0.114	0.28365115	0.115	0.2833604377
116	0.2830185025
117	0.2826565159
118	0.2823805625
119	0.2820843905
120	0.2818183461
121	0.2816232989
122	0.2813040583
123	0.28104124	0.124	0.28073125	0.125	0.28034126	0.126	0.2800267036
127	0.2797797981
128	0.2793927798
129	0.2791798779
130	0.2788726477
131	0.2786212326
132	0.2783637702
133	0.2782493681
134	0.2781145474
135	0.2779318896
136	0.2776819111
137	0.2773238336
138	0.2770350257
139	0.2767746476
140	0.2764915469
141	0.276285518
142	0.2761104228
143	0.2758850687
144	0.2756756615
145	0.2754332675
146	0.2752834687
147	0.2750551695
148	0.2149	0.2743149	0.2747862173
150	0.2745401713
151	0.2743102502
152	0.274095714
153	0.2154	0.2735154	0.2155	0.2734155	0.2736024538
156	0.273474779
157	0.2732930849
158	0.2731598198
159	0.2730210809
160	0.2728690639
161	0.2725976886
162	0.2724347249
163	0.2722801417
164	0.2721197257
165	0.2166	0.2712166	0.2167	0.2709167	0.2168	0.2708168	0.2169	0.2705169	0.2170	0.2704170	0.2171	0.2703171	0.2172	0.2701172	0.2173	0.2699173	0.2174	0.2698174	0.2175	0.2697175	0.2176	0.2695176	0.2177	0.2693177	0.178	0.26918178	0.2698872866
179	0.2697482432
180	0.2696708903
181	0.2695145004
182	0.2693352449
183	0.2692582439
184	0.2691409927
185	0.2690243077
186	0.2688878663
187	0188	0.267660188	0189	0.267531189	0190	0.267406190	0191	0.267304191	0192	0.267124192	0.2681360944
193	0.2679015945
194	0.2677149061
195	0.2676410463
196	0.2674731863
197	0198	0.26630198	0.199	0.26605199	0.200	0.26592200	0.201	0.2658464593
202	0.2656397871
203	0.2655134226
204	0.2653578163
205	0.2652523358
206	0.2651344944
207	0.2650705865
208	0.2649208	0.2209	0.2648103868
210	0.2647113805
211	0.2645211	0.2212	0.2645212	0.2213	0.2644213	0.2214	0.2643214	0.2215	0.2641215	0.2216	0.2640216	0.2217	0.2639780154
218	0.2638884406
219	0.2637504488
220	0.2636337237
221	0.2635776729
222	0.2634924085
223	0.2633451413
224	0.2632645699
225	0.2631686934
226	0.2630549868
227	0.2629342652
228	0.2628590979
229	0.2627140313
230	0.2626724979
231	0.2625270101
232	0.262349458
233	0.262238534
234	0.2621568749
235	0.2620664158
236	0.2619818903
237	0.2619447006
238	0.2618690975
239	0.261732119
240	0.2615694547
241	0.2614981796
242	0.2614368252
243	0.2613246776
244	0.2612533433
245	0.2611578397
246	0.2610555309
247	0.2609447756
248	0.260872782
249	0.2607701673
250	0.2606873969
251	0.2605826432
252	0.2604195368
253	0.2602995132
254	0.2602175899
255	0.2601636664
256	0.2600763174
257	0.2600085851
258	0.2599438484
259	0.2598702435
260	0.2597891048
261	0.259713824
262	0.2595636509
263	0.2594331475
264	0.2593415254
265	0.2592420378
266	0.2591263589
267	0.2590150108
268	0.2588761899
269	0.2588446821
270	0.2587344453
271	0.2586387822
272	0.2585453937
273	0.2584434565
274	0.2583773275
275	0.258270709
276	0.2582100752
277	0.2580821818
278	0.257884355
279	0.2578111322
280	0.2577347194
281	0.2576024694
282	0.257535625
283	0.2574597796
284	0.2573712621
285	0.2573210726
286	0.2572026373
287	0.2570930853
288	0.2570268358
289	0.2569663005
290	0.2568753457
291	0.2567755875
292	0.2566898527
293	0.2566176217
294	0.2565584971
295	0.2565010931
296	0.2564388679
297	0.2563525989
298	0.2562245497
299	0.2561546658
300	0.2561119156
301	0.2559873368
302	0.2558479743
303	0.2557920084
304	0.2556863416
305	0.2556247851
306	0.2555052587
307	0.2554177244
308	0.2552834238
309	0.2551981834
310	0.2551095172
311	0.255071521
312	0.2550438769
313	0.2549822099
314	0.2549261253
315	0.2548190383
316	0.2547564562
317	0.2546398592
318	0.2545588797
319	0.2545056015
320	0.2544334702
321	0.2543189912
322	0.2542777055
323	0.254210608
324	0.2541260271
325	0.2540046651
326	0.2539245909
327	0.2538381264
328	0.2537900469
329	0.2536743763
330	0.2536369719
331	0.253563522
332	0.2533798416
333	0.2532663921
334	0.2531937611
335	0.2530734037
336	0.2529775233
337	0.2529381611
338	0.2528314665
339	0.2527725333
340	0.2526955637
341	0.2526607102
342	0.2526002973
343	0.2525193091
344	0.2524656234
345	0.2524083747
346	0.2523711343
347	0.2522726501
348	0.2522137563
349	0.2521741045
350	0.2521127403
351	0.2519343726
352	0.2518903907
353	0.251751648
354	0.2516346908
355	0.2515794542
356	0.2513861891
357	0.2513031497
358	0.2511867823
359	0.251078838
360	0.2510657867
361	0.2510180782
362	0.2509628195
363	0.2508508984
364	0.2507667867
365	0.2507264424
366	0.2506432704
367	0.2505964611
368	0.2504998504
369	0.2504169998
370	0.2503952515
371	0.2503408168
372	0.2501704229
373	0.2500905707
374	0.2499958094
375	0.2498861748
376	0.2498616466
377	0.2498191489
378	0.249722064
379	0.2495754174
380	0.2495273867
381	0.2494603549
382	0.2494075846
383	0.2493635725
384	0.2492997488
385	0.2492138719
386	0.2490537144
387	0.2489831006
388	0.2489504487
389	0.2488651561
390	0.2488109073
391	0.248731982
392	0.2486725592
393	0.2486109089
394	0.2485550655
395	0.248505336
396	0.2484686913
397	0.248363025
398	0.2482100969
399	0.2481575815
400	0.2480350236
401	0.2480026123
402	0.2479728887
403	0.2479261074
404	0.2478560108
405	0.2477975609
406	0.2476468186
407	0.2474864683
408	0.2474460963
409	0.2473684978
410	0.247235762
411	0.2471961144
412	0.2471541932
413	0.247138352
414	0.2470224981
415	0.2469237674
416	0.2468931023
417	0.2467759034
418	0.24674199
419	0.2467135084
420	0.2466605435
421	0.246599829
422	0.2464760444
423	0.2463708251
424	0.2463475079
425	0.2463027161
426	0.2461659874
427	0.2460177909
428	0.2458662492
429	0.2457533335
430	0.2456645728
431	0.2455994025
432	0.2454839454
433	0.2453435367
434	0.2452804297
435	0.2452116787
436	0.2451352165
437	0.2449849448
438	0.244921755
439	0.2448930112
440	0.2448298131
441	0.2447388667
442	0.2447185419
443	0.2446623285
444	0.2445949847
445	0.2445287693
446	0.244413599
447	0.2443051545
448	0.2442913351
449	0.2441829345
450	0.2440492032
451	0.2439566243
452	0.2438925308
453	0.2438026138
454	0.243759818
455	0.2437248344
456	0.2435119236
457	0.243369223
458	0.2433285581
459	0.2432150733
460	0.2431829556
461	0.2430286148
462	0.2429960461
463	0.2429560904
464	0.2428598431
465	0.2428133805
466	0.2427360211
467	0.2426236199
468	0.2425696094
469	0.2425612559
470	0.2424945263
471	0.2424734415
472	0.2424250503
473	0.2423355876
474	0.2422864643
475	0.2421684612
476	0.2420931402
477	0.2420207935
478	0.2418831821
479	0.2417603486
480	0.2416984708
481	0.2416518016
482	0.2415767233
483	0.241456619
484	0.241251689
485	0.2411471833
486	0.2409982649
487	0.2409354005
488	0.24082447
489	0.240706965
490	0.2405862165
491	0.2405184697
492	0.2404417723
493	0.2403875185
494	0.2403423707
495	0.2402746494
496	0.2401992158
497	0.2401299096
498	0.2400926961
499	0.2399358282
500	0.2397634812
501	0.2397214871
502	0.2396319095
503	0.2394851728
504	0.2393647726
505	0.2393069976
506	0.2391792738
507	0.2390745331
508	0.2390238187
509	0.2389789312
510	0.2388838238
511	0.2388396304
512	0.2388157402
513	0.2387508556
514	0.2385937886
515	0.2385433655
516	0.2384281733
517	0.2383190741
518	0.2382389703
519	0.2381400762
520	0.2379969144
521	0.2378375082
522	0.2377576622
523	0.237622737
524	0.2375648578
525	0.2373865534
526	0.2371865191
527	0.2371169734
528	0.2370041708
529	0.2368968222
530	0.236855133
531	0.2368373324
532	0.2367227051
533	0.2367037856
534	0.2366912248
535	0.2365708901
536	0.2364890225
537	0.2363622518
538	0.2362737961
539	0.2362155761
540	0.2360995881
541	0.236034274
542	0.2359137231
543	0.2358075798
544	0.2357497316
545	0.2355946485
546	0.235547133
547	0.2354800118
548	0.2354631665
549	0.2353586009
550	0.2353096395
551	0.2352863374
552	0.2352291945
553	0.2351940727
55554	0.23503736555555	0.23491875655556	0.23482537355557	0.23475931255558	0.23467346355559	0.23458172656560	0.2345004429
561	0.2344869677
562	0.2344370177
563	0.2343509784
564	0.2342062396
565	0.234125966
566	0.2340896039
567	0.2340179227
568	0.2339312275
569	0.2337990991
570	0.23374408
571	0.2336693278
572	0.2335733179
573	0.2334710221
574	0.2333604947
575	0.2332319818
576	0.2330928669
577	0.2330092808
578	0.2329335397
579	0.2327945249
580	0.2327228434
581	0.2326589039
582	0.232572323
583	0.2324485244
584	0.2323514169
585	0.2323024846
586	0.2322310891
587	0.2322154936
588	0.2320780117
589	0.2320119027
590	0.2319242259
591	0.2318482645
592	0.2317678793
593	0.2317161923
594	0.2316725374
595	0.2315978229
596	0.2315051961
597	0.2313401768
598	0.2312142698
599	0.2311622834
600	0.2310881281
601	0.2309734091
602	0.2308990405
603	0.2308006287
604	0.2307435344
605	0.230674325
606	0.2306116068
607	0.2304798727
608	0.2303639121
609	0.2302675499
610	0.2301850375
611	0.2301058095
612	0.2300621173
613	0.2299782024
614	0.2299306813
615	0.2298026398
616	0.229672536
617	0.2295556412
618	0.2295041375
619	0.2294915951
620	0.2294315337
621	0.2294026095
622	0.2293652699
623	0.2292996952
624	0.2292012689
625	0.229130189
626	0.2290075963
627	0.2289012553
628	0.2288387112
629	0.2287303208
630	0.2286386309
631	0.2285255165
632	0.2284130666
633	0.2283376622
634	0.2282684629
635	0.2282039891
636	0.2281286304
637	0.2280093075
638	0.2279231724
639	0.2278096421
640	0.2276845943
641	0.2275959052
642	0.2275311423
643	0.2274111847
644	0.2273575137
645	0.2272509722
646	0.2271372796
647	0.2270509155
648	0.2270136988
649	0.2269475062
650	0.2269092588
651	0.2268231293
652	0.2267098618
653	0.226648642
654	0.2265773184
655	0.2265122379
656	0.2264899058
657	0.2264137399
658	0.2263763174
659	0.2263025902
660	0.2262303334
661	0.2261213737
662	0.2260214834
663	0.2259268315
664	0.225834933
665	0.2257805645
666	0.2256971271
667	0.2256012273
668	0.2255084348
669	0.2254476623
670	0.225363078
671	0.2253224905
672	0.2251562881
673	0.225065142
674	0.2249940167
675	0.2249737911
676	0.2248145328
677	0.224745063
678	0.224636959
679	0.2245592936
680	0.2245518401
681	0.2244968019
682	0.2244737455
683	0.224406249
684	0.2243025304
685	0.2242347986
686	0.2241312829
687	0.2240758209
688	0.2240205918
689	0.2239676374
690	0.2239567067
691	0.2238597167
692	0.2237604795
693	0.2237115183
694	0.2236557722
695	0.2235816987
696	0.2235439402
697	0.2234822887
